Simulation,Tau,Mu,M_n
990,764,83,4
991,210,940,45
992,922,570,19
993,1000,40,4
994,832,9,2
995,798,127,7
996,962,954,43
997,1000,811,29
998,2,1,1
999,4,0,0
1000,948,908,59
