Simulation,N_t_hat,N_t_circ
335,116.04639781775012,162.0
336,110.04639781775012,150.0
337,105.04639781775012,140.0
338,118.04639781775012,166.0
339,110.04639781775012,150.0
340,103.04639781775012,136.0
341,112.04639781775012,154.0
342,111.04639781775012,152.0
343,117.04639781775012,164.0
344,103.04639781775012,136.0
345,108.04639781775012,146.0
346,96.04639781775012,122.0
347,110.04639781775012,150.0
348,98.04639781775012,126.0
349,93.04639781775012,116.0
350,92.04639781775012,114.0
351,103.04639781775012,136.0
352,109.04639781775012,148.0
353,114.04639781775012,158.0
354,92.04639781775012,114.0
355,97.04639781775012,124.0
356,118.04639781775012,166.0
357,117.04639781775012,164.0
358,115.04639781775012,160.0
359,97.04639781775012,124.0
360,109.04639781775012,148.0
361,107.04639781775012,144.0
362,111.04639781775012,152.0
363,105.04639781775012,140.0
364,103.04639781775012,136.0
365,104.04639781775012,138.0
366,105.04639781775012,140.0
367,123.04639781775012,176.0
368,103.04639781775012,136.0
369,119.04639781775012,168.0
370,106.04639781775012,142.0
371,121.04639781775012,172.0
372,109.04639781775012,148.0
373,114.04639781775012,158.0
374,105.04639781775012,140.0
375,102.04639781775012,134.0
376,98.04639781775012,126.0
377,99.04639781775012,128.0
378,108.04639781775012,146.0
379,104.04639781775012,138.0
380,115.04639781775012,160.0
381,95.04639781775012,120.0
382,92.04639781775012,114.0
383,102.04639781775012,134.0
384,120.04639781775012,170.0
385,103.04639781775012,136.0
386,108.04639781775012,146.0
387,116.04639781775012,162.0
388,98.04639781775012,126.0
389,111.04639781775012,152.0
390,87.04639781775012,104.0
391,97.04639781775012,124.0
392,101.04639781775012,132.0
393,100.04639781775012,130.0
394,96.04639781775012,122.0
395,91.04639781775012,112.0
396,105.04639781775012,140.0
397,106.04639781775012,142.0
398,122.04639781775012,174.0
399,102.04639781775012,134.0
400,98.04639781775012,126.0
401,102.04639781775012,134.0
402,109.04639781775012,148.0
403,113.04639781775012,156.0
404,91.04639781775012,112.0
405,113.04639781775012,156.0
406,101.04639781775012,132.0
407,108.04639781775012,146.0
408,95.04639781775012,120.0
409,100.04639781775012,130.0
410,110.04639781775012,150.0
411,103.04639781775012,136.0
412,112.04639781775012,154.0
413,107.04639781775012,144.0
414,105.04639781775012,140.0
415,103.04639781775012,136.0
416,100.04639781775012,130.0
417,108.04639781775012,146.0
418,102.04639781775012,134.0
419,123.04639781775012,176.0
420,93.04639781775012,116.0
421,126.04639781775012,182.0
422,109.04639781775012,148.0
423,118.04639781775012,166.0
424,105.04639781775012,140.0
425,106.04639781775012,142.0
426,101.04639781775012,132.0
427,105.04639781775012,140.0
428,113.04639781775012,156.0
429,100.04639781775012,130.0
430,105.04639781775012,140.0
431,95.04639781775012,120.0
432,104.04639781775012,138.0
433,110.04639781775012,150.0
434,107.04639781775012,144.0
435,94.04639781775012,118.0
436,100.04639781775012,130.0
437,118.04639781775012,166.0
438,100.04639781775012,130.0
439,103.04639781775012,136.0
440,113.04639781775012,156.0
441,105.04639781775012,140.0
442,109.04639781775012,148.0
443,114.04639781775012,158.0
444,101.04639781775012,132.0
445,107.04639781775012,144.0
446,82.04639781775012,94.0
447,95.04639781775012,120.0
448,106.04639781775012,142.0
449,108.04639781775012,146.0
450,96.04639781775012,122.0
451,109.04639781775012,148.0
452,107.04639781775012,144.0
453,107.04639781775012,144.0
454,92.04639781775012,114.0
455,94.04639781775012,118.0
456,116.04639781775012,162.0
457,113.04639781775012,156.0
458,96.04639781775012,122.0
459,92.04639781775012,114.0
460,94.04639781775012,118.0
461,95.04639781775012,120.0
462,90.04639781775012,110.0
463,120.04639781775012,170.0
464,108.04639781775012,146.0
465,101.04639781775012,132.0
466,117.04639781775012,164.0
467,102.04639781775012,134.0
468,100.04639781775012,130.0
469,121.04639781775012,172.0
470,92.04639781775012,114.0
471,99.04639781775012,128.0
472,107.04639781775012,144.0
473,102.04639781775012,134.0
474,98.04639781775012,126.0
475,107.04639781775012,144.0
476,105.04639781775012,140.0
477,109.04639781775012,148.0
478,101.04639781775012,132.0
479,101.04639781775012,132.0
480,113.04639781775012,156.0
481,116.04639781775012,162.0
